,,,,,,
Row Labels,Count of Qoute_Author,Qoute_Tags,,,,
Albert Einstein,3,change,deep-thoughts,thinking,world,
Andrť Gide,1,abilities,choices,,,
Eleanor Roosevelt,1,inspirational,life,live,miracle,miracles
J.K. Rowling,1,aliteracy,books,classic,humor,
Jane Austen,1,be-yourself,inspirational,,,
Marilyn Monroe,1,adulthood,success,value,,
Steve Martin,1,life,love,,,
Thomas A. Edison,1,edison,failure,inspirational,paraphrased,
Grand Total,10,misattributed-eleanor-roosevelt,,,,
,,humor,obvious,simile,,
